id,name,image,party,party_id,term,email,area,source
Dax-Alfred-Stefanus,Dax Alfred Stefanus,http://www.parliament.na/images/nationalcouncil/a_dax.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=503:dax-alfred-stefanus&catid=122&Itemid=1378
Ya-Kasita-Sheya-Henock,Ya Kasita Sheya Henock,http://www.parliament.na/images/nationalcouncil/h_kasita.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=523:ya-kasita-sheya-henock-2nd&catid=122&Itemid=1378
Shekutamba-Bernardinus-Petrus,Shekutamba Bernardinus Petrus,http://www.parliament.na/images/nationalcouncil/594_bernardinus_petrus_shekutamba.jpg,SWAPO,SWAPO,4,b.shekutamba@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=30:shekutamba-bernardinus-petrus&catid=136&Itemid=1376
Ya-Ndakolo-Penda,Ya Ndakolo Penda,http://www.parliament.na/images/nationalcouncil/p_ndakolo.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=570:ya-ndakolo-penda&catid=122&Itemid=1378
Kavetuna-Ferdinand-Frederich,Kavetuna Ferdinand Frederich,http://www.parliament.na/images/nationalcouncil/f_kavetuna.JPG,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=922:kavetuna-ferdinand-frederich&catid=124&Itemid=1377
Ndjambula-Phillemon,Ndjambula Phillemon,http://www.parliament.na/images/nationalcouncil/p_ndjambula.JPG,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=928:ndjambula-phillemon-3rd&catid=124&Itemid=1377
Sipapela-Cletius-Sipapela,Sipapela Cletius Sipapela,http://www.parliament.na/images/nationalcouncil/597_sipapela_cletius_sipapela.jpg,SWAPO,SWAPO,4,s.sipapela@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1320:sipapela-cletius-sipapela&catid=136&Itemid=1376
Mumbuu-Uapundua-Edward,Mumbuu  Uapundua Edward,http://www.parliament.na/images/nationalcouncil/e_mumbuu.jpg,DTA/UDF Coalition,DTA/UDF Coalition,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=586:mumbuu-uapundua-edward-1st&catid=119&Itemid=1379
Martin-Kapewasha,Martin Kapewasha,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=541:martin-kapewasha&catid=119&Itemid=1379
Siwombe-Frieda-Mwadina,Siwombe Frieda Mwadina,http://www.parliament.na/images/nationalcouncil/f_siwombe.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=913:siwombe-frieda-mwadina&catid=124&Itemid=1377
Boois-Dawid,Boois Dawid,http://www.parliament.na/images/nationalcouncil/586_dawid_boois.jpg,SWAPO,SWAPO,4,d.boois@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1311:b-david&catid=136&Itemid=1376
Kerina-Mburumba,Kerina Mburumba,http://www.parliament.na/images/nationalcouncil/m_kerina.jpg,DTA/UDF Coalition,DTA/UDF Coalition,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=547:kerina-mburumba&catid=122&Itemid=1378
Thighuru-Haushiku-Johannes,Thighuru Haushiku Johannes,http://www.parliament.na/images/nationalcouncil/j_thighuru.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=532:thighuru-haushiku-johannes&catid=122&Itemid=1378
Walubita-Mukelabayi,Walubita Mukelabayi,"",DTA,DTA,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=931:walubita-mukelabayi&catid=119&Itemid=1379
Nakwafila-Johannes-Kamati,Nakwafila Johannes Kamati,http://www.parliament.na/images/nationalcouncil/354_johannes_nakwafila.jpg,SWAPO,SWAPO,4,jk.nakwafila@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=24:nakwafila-johannes-kamati&catid=136&Itemid=1376
Diergaardt-Theo-Vivian,Diergaardt Theo Vivian,http://www.parliament.na/images/nationalcouncil/197_hon.t._diergaardt.jpg,SWAPO,SWAPO,3,t.diergaardt@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=908:die-theoviv-3rd&catid=124&Itemid=1377
Shangheta-Bartholomeus-Tuhafeni,Shangheta Bartholomeus Tuhafeni,http://www.parliament.na/images/nationalcouncil/b_shangheta.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=923:shangheta-bartholomeus-tuhafeni-3rd&catid=124&Itemid=1377
Hishikushitja-Michael-Ndapamapedu,Hishikushitja Michael Ndapamapedu,http://www.parliament.na/images/nationalcouncil/m_hishikushitya.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=548:hishikushitja-michael-ndapamapedu&catid=122&Itemid=1378
Haingura-Ambrosius,Haingura Ambrosius,http://www.parliament.na/images/no_image.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=937:haingura-ambrosius-2nd&catid=122&Itemid=1378
Huiseb-Johannes-Sitore,|Huiseb Johannes Sitore,"",DTA,DTA,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=938:huiseb-johannes-sitore&catid=119&Itemid=1379
Hoveka-Wilfred-Uaonga,Hoveka Wilfred Uaonga,"",SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=902:hoveka-wilfred-uaonga&catid=122&Itemid=1378
Shitaleni-Germina-Ndapua,Shitaleni Germina Ndapua,http://www.parliament.na/images/nationalcouncil/595_germina_ndapua_shitaleni.jpg,SWAPO,SWAPO,4,g.shitaleni@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=32:shitaleni-germina-ndapua&catid=136&Itemid=1376
Hifitikeko-Lucas,Hifitikeko Lucas,"",SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=903:hifitikeko-l-lucia&catid=122&Itemid=1378
Kandjii-Ambrosius,Kandjii Ambrosius,http://www.parliament.na/images/nationalcouncil/588_ambrosius_kandjii.jpg,SWAPO,SWAPO,4,a.kandjii@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1312:kandji-ambrosius&catid=136&Itemid=1376
Shihwameni-Shikongo-Herbert,Shihwameni Shikongo Herbert,http://www.parliament.na/images/nationalcouncil/h_shihwameni.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=525:shihwameni-shikongo-herbert&catid=122&Itemid=1378
Hendjala-Erasmus,Hendjala Erasmus,http://www.parliament.na/images/nationalcouncil/e_hendjala.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=583:hendjala-erasmus-1st&catid=119&Itemid=1379
Ya-Kasita-Sheya-Henock,Ya Kasita Sheya Henock,http://www.parliament.na/images/nationalcouncil/h_kasita.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=576:ya-kasita-sheya-henock-1st&catid=119&Itemid=1379
Josephine-Hamutwe-Kandjambanga,Josephine Hamutwe Kandjambanga,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=542:josephine-hamutwe-kandjambanga&catid=119&Itemid=1379
Mujoro-Zedekia,Mujoro Zedekia,http://www.parliament.na/images/nationalcouncil/z_mujoro.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=575:mujoro-zedekia-1st&catid=119&Itemid=1379
Cloete-Samuel-Petrus,Cloete Samuel Petrus,http://www.parliament.na/images/nationalcouncil/s_cloete.jpg,DTA/UDF Coalition,DTA/UDF Coalition,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=562:cloete-samuel-petrus&catid=122&Itemid=1378
Kairabeb-Lazarus,Kairabeb Lazarus,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=940:kairabeb-lazarus&catid=119&Itemid=1379
Shilenga-Rosalia,Shilenga Rosalia,http://www.parliament.na/images/nationalcouncil/596_rosalia_shilenga.jpg,SWAPO,SWAPO,4,r.shilenga@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1318:shilenga-rosalia&catid=136&Itemid=1376
Nangolo-Johannes,"Nangolo, Johannes",http://www.parliament.na/images/nationalcouncil/j_nangolo.JPG,SWAPO,SWAPO,4,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1316:nangolo-johannes&catid=136&Itemid=1376
Kaatura-Nehemia,Kaatura Nehemia,"",DTA,DTA,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=939:kaatura-nehemia&catid=119&Itemid=1379
Tjeundo-Kazeongere-Zeriapi,Tjeundo Kazeongere Zeriapi,http://www.parliament.na/images/nationalcouncil/598_kazeongere_zeriapi_tjeundo_(dta).jpg,DTA,DTA,4,k.tjeundo@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=35:tjeundo-kazeongere-zeriapi&catid=136&Itemid=1376
Karupu-Sebastiaan,Karupu Sebastiaan,http://www.parliament.na/images/no_image.jpg,"","",3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=912:karupu-sebastiaan&catid=124&Itemid=1377
Shikongo-Darius-Tatekulu,Shikongo Darius Tatekulu,http://www.parliament.na/images/nationalcouncil/d_shikongo.JPG,SWAPO,SWAPO,4,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1288:shikongo-darius-tatekulu&catid=136&Itemid=1376
Nicanor-Hilma-Ndinelago,Nicanor Hilma Ndinelago,http://www.parliament.na/images/nationalcouncil/351_img_0059.jpg,SWAPO,SWAPO,4,h.nicanor@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1317:nicanor-hilma-ndinelago&catid=136&Itemid=1376
Diergaardt-Theo-Vivian,Diergaardt Theo Vivian,http://www.parliament.na/images/nationalcouncil/197_hon.t._diergaardt.jpg,SWAPO,SWAPO,4,t.diergaardt@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=14:die-theoviv&catid=136&Itemid=1376
Hakaye-Haikela-Jhonny,Hakaye Haikela Jhonny,http://www.parliament.na/images/nationalcouncil/j_hakaye.JPG,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=534:hakaye-haikela-johnny-2nd&catid=122&Itemid=1378
Andowa-Generosa,Andowa Generosa,http://www.parliament.na/images/nationalcouncil/g_andowa.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=515:andowa-generosa&catid=122&Itemid=1378
Hishikushitja-Michael-Ndapamapedu,Hishikushitja Michael Ndapamapedu,http://www.parliament.na/images/nationalcouncil/m_hishikushitya.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=578:hishikushitja-michael-ndapamapedu-1st&catid=119&Itemid=1379
Hakaye-Haikela-Jhonny,Hakaye Haikela Jhonny,http://www.parliament.na/images/nationalcouncil/j_hakaye.JPG,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=582:hakaye-haikela-johnny-3rd&catid=124&Itemid=1377
Coma-Moses,!Coma Moses,http://www.parliament.na/images/nationalcouncil/m_coma.JPG,"","",3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=924:coma-moses-3rd&catid=124&Itemid=1377
Ndjambula-Phillemon,Ndjambula Phillemon,http://www.parliament.na/images/nationalcouncil/p_ndjambula.JPG,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=558:ndjambula-phillemon&catid=122&Itemid=1378
Eiseb-Theofelus,Eiseb Theofelus,http://www.parliament.na/images/nationalcouncil/t_eiseb.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=580:eiseb-theofelus-2nd&catid=122&Itemid=1378
Appollus-Willem-Rudolf,Appollus Willem Rudolf,http://www.parliament.na/images/nationalcouncil/w_appollus.JPG,"","",3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=911:appollus-willem-rudolf&catid=124&Itemid=1377
Cloete-Samuel-Petrus,Cloete Samuel Petrus,http://www.parliament.na/images/nationalcouncil/s_cloete.jpg,DTA/UDF Coalition,DTA/UDF Coalition,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=585:cloete-samuel-petrus-1st&catid=119&Itemid=1379
Tuhadeleni-Noah-Lyaalala,Tuhadeleni Noah Lyaalala,http://www.parliament.na/images/nationalcouncil/n_tuhadeleni.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=550:tuhadeleni-noah-lyaalala&catid=122&Itemid=1378
Ya-Kasita-Sheya-Henock,Ya Kasita Sheya Henock,http://www.parliament.na/images/nationalcouncil/h_kasita.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=577:ya-kasita-sheya-henock-3rd&catid=124&Itemid=1377
Wilfred-I-Emvula,Wilfred I Emvula,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=537:wilfred-i-emvula&catid=119&Itemid=1379
Shimutwikeni-Leonard,"Shimutwikeni, Leonard",http://www.parliament.na/images/nationalcouncil/l_shimutwikeni.JPG,SWAPO,SWAPO,4,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1290:shimutwikeni-leonard&catid=136&Itemid=1376
Sheyapo-Fidelis,Sheyapo Fidelis,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=932:sheyapo-fidelis&catid=119&Itemid=1379
Nambili-Ndapewoshali,Nambili Ndapewoshali,http://www.parliament.na/images/nationalcouncil/593_ndapewoshali_nangula_nambili.jpg,SWAPO,SWAPO,4,n.nambili@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=25:nambili-ndapewoshali&catid=136&Itemid=1376
Mogotsi-Stefanus-Orateng,Mogotsi Stefanus Orateng,http://www.parliament.na/images/nationalcouncil/s_mogotsi.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=921:mogotsi-stefanus-orateng&catid=124&Itemid=1377
Katamelo-Phillipus-Wido,Katamelo 	 Phillipus Wido,http://www.parliament.na/images/nationalcouncil/590_phillipus_wido_katamelo.jpg,SWAPO,SWAPO,4,p.katamelo@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1313:p-katamelo&catid=136&Itemid=1376
Nicanor-Hilma-Ndinelago,Nicanor Hilma Ndinelago,http://www.parliament.na/images/nationalcouncil/351_img_0059.jpg,SWAPO,SWAPO,3,h.nicanor@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=915:nicanor-hilma-ndinelago-3rd&catid=124&Itemid=1377
Mensah-Williams-Margaret-Natalie,Mensah-Williams Margaret Natalie,http://www.parliament.na/images/nationalcouncil/193_magareth_0021.jpg,SWAPO,SWAPO,2,m.nakutwima@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=12:margret-mensah-2nd&catid=122&Itemid=1378
Ndemula-Hafeni-Ludwigh,Ndemula Hafeni Ludwigh,http://www.parliament.na/images/nationalcouncil/h_ndemula.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=520:ndemula-hafeni-ludwigh-3rd&catid=124&Itemid=1377
Kavara-Rosa-Kunyanda,Kavara Rosa Kunyanda,http://www.parliament.na/images/nationalcouncil/591_rosa_kunyanda_kavara.jpg,SWAPO,SWAPO,4,r.kavara@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1314:kavara-rosa-kunyanda&catid=136&Itemid=1376
Sibalatani-Bernard-Songa,Sibalatani Bernard Songa,http://www.parliament.na/images/nationalcouncil/357_img_0037.jpg,SWAPO,SWAPO,4,b.sibalatani@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1319:sibalatani-bernard-songa&catid=136&Itemid=1376
Mensah-Williams-Margaret-Natalie,Mensah-Williams Margaret Natalie,http://www.parliament.na/images/nationalcouncil/193_magareth_0021.jpg,SWAPO,SWAPO,4,m.nakutwima@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=287:margretmensah&catid=136&Itemid=1376
Sibiya-Mwashekele-Rosalia-Mwadina,Sibiya-Mwashekele Rosalia Mwadina,http://www.parliament.na/images/nationalcouncil/r_sibiya_mwashekele.JPG,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=907:sibiya-mwashekele-rosalia-mwadina&catid=124&Itemid=1377
Gaobaeb-Hendrik,Gaobaeb Hendrik,http://www.parliament.na/images/nationalcouncil/587_hendrik_goabaeb_(udf).jpg,UDF,UDF,4,h.gaobaeb@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=15:h-gaohen&catid=136&Itemid=1376
Eiseb-Theofelus,Eiseb Theofelus,http://www.parliament.na/images/nationalcouncil/t_eiseb.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=579:eiseb-theofelus-1st&catid=119&Itemid=1379
Basson-Benedictus-Franciskus,Basson Benedictus  Franciskus,http://www.parliament.na/images/nationalcouncil/f_basson.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=513:basson-benedictus-franciskus&catid=122&Itemid=1378
Nakwafila-Johannes-Kamati,Nakwafila Johannes Kamati,http://www.parliament.na/images/nationalcouncil/354_johannes_nakwafila.jpg,SWAPO,SWAPO,3,jk.nakwafila@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=909:nakwafila-johannes-kamati-3rd&catid=124&Itemid=1377
Nhinda-Ruth-Kepawa,Nhinda Ruth Kepawa,http://www.parliament.na/images/nationalcouncil/348_img_0015.jpg,SWAPO,SWAPO,4,r.nhinda@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=28:nhinda-ruth-kepawa&catid=136&Itemid=1376
Ghauz-Fransina,"Ghauz, Fransina",http://www.parliament.na/images/no_image.jpg,"","",4,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=1353:ghauz-fransina&catid=136&Itemid=1376
Kapere-Asser-Kuveri,Kapere Asser  Kuveri,http://www.parliament.na/images/Asser.jpg,SWAPO,SWAPO,3,a.kapere@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=929:asser-kapere-3rd&catid=124&Itemid=1377
Esegiel-M-Uirab,Esegiel M /Uirab,"",SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=539:esegiel-m-uirab&catid=119&Itemid=1379
Gobs-Sebastiaan-Ignatius,!Gobs Sebastiaan Ignatius,http://www.parliament.na/images/nationalcouncil/s_ngobs.jpg,UDF,UDF,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=927:gobs-sebastiaan-ignatius&catid=124&Itemid=1377
Mwillima-Leonard-Yamba,Mwillima Leonard Yamba,http://www.parliament.na/images/nationalcouncil/r_mwilima.jpg,SWAPO,SWAPO,3,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=919:mwillima-leonard-yamba&catid=124&Itemid=1377
Kapere-Asser-Kuveri,Kapere Asser  Kuveri,http://www.parliament.na/images/Asser.jpg,SWAPO,SWAPO,2,a.kapere@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=571:asser-kapere-2nd&catid=122&Itemid=1378
Ndemula-Hafeni-Ludwigh,Ndemula Hafeni Ludwigh,http://www.parliament.na/images/nationalcouncil/h_ndemula.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=519:ndemula-hafeni-ludwigh-2nd&catid=122&Itemid=1378
Kamanya-E-S-Vilho,Kamanya E.S. Vilho,http://www.parliament.na/images/nationalcouncil/v_kamanya.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=941:kamanya-e-s-vilho&catid=119&Itemid=1379
Nhinda-Ruth-Kepawa,Nhinda Ruth Kepawa,http://www.parliament.na/images/nationalcouncil/348_img_0015.jpg,SWAPO,SWAPO,3,r.nhinda@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=906:nhinda-ruth-kepawa-3rd&catid=124&Itemid=1377
Shangheta-Bartholomeus-Tuhafeni,Shangheta Bartholomeus Tuhafeni,http://www.parliament.na/images/nationalcouncil/b_shangheta.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=506:shangheta-bartholomeus-tuhafeni&catid=122&Itemid=1378
Nguvauva-Kilus,Nguvauva Kilus,http://www.parliament.na/images/nationalcouncil/kilus_img_0039.jpg,"","",4,k.nguvauva@gmail.com,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=27:nguvauva-kilus&catid=136&Itemid=1376
Hakaye-Haikela-Jhonny,Hakaye Haikela Jhonny,http://www.parliament.na/images/nationalcouncil/j_hakaye.JPG,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=581:hakaye-haikela-johnny-1st&catid=119&Itemid=1379
Kaiyamo-Hosea-Nico,Kaiyamo Hosea Nico,http://www.parliament.na/images/nationalcouncil/h_kaiyamo.jpg,SWAPO,SWAPO,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=584:kaiyamo-hosea-nico-1st&catid=119&Itemid=1379
Kapenambili-Isai-Paulus,Kapenambili Isai Paulus,http://www.parliament.na/images/nationalcouncil/589_isai_paulus_kapenambili.jpg,SWAPO,SWAPO,4,i.kapenambili@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=18:kapenambili-isai&catid=136&Itemid=1376
Sizimbo-Francis-Fanie,Sizimbo Francis Fanie,"",DTA,DTA,1,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=933:sizimbo-francis-fanie&catid=119&Itemid=1379
Mensah-Williams-Margaret-Natalie,Mensah-Williams Margaret Natalie,http://www.parliament.na/images/nationalcouncil/193_magareth_0021.jpg,SWAPO,SWAPO,3,m.nakutwima@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=930:margret-mensah-3rd&catid=124&Itemid=1377
Nehova-Kandy-Shafodino-Hinananye,"Nehova ""Kandy"" Shafodino Hinananye",http://www.parliament.na/images/nationalassemblymembers/583_kandy_n.jpg,SWAPO,SWAPO,2,k.nehova@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=573:kandy-2nd&catid=122&Itemid=1378
Mumbuu-Uapundua-Edward,Mumbuu  Uapundua Edward,http://www.parliament.na/images/nationalcouncil/e_mumbuu.jpg,DTA/UDF Coalition,DTA/UDF Coalition,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=508:mumbuu-uapundua-edward&catid=122&Itemid=1378
Kankoshi-Henok-Tangeni,Kankoshi Henok Tangeni,http://www.parliament.na/images/nationalcouncil/205_img_0069.jpg,SWAPO,SWAPO,3,h.kankoshi@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=920:henok-kankoshi-3rd&catid=124&Itemid=1377
Nguvauva-Kilus,Nguvauva Kilus,http://www.parliament.na/images/nationalcouncil/kilus_img_0039.jpg,"","",3,k.nguvauva@gmail.com,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=916:nguvauva-kilus-3rd&catid=124&Itemid=1377
Kaiyamo-Hosea-Nico,Kaiyamo Hosea Nico,http://www.parliament.na/images/nationalcouncil/h_kaiyamo.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=527:kaiyamo-hosea-nico&catid=122&Itemid=1378
Murorua-Themistokles-Dudu,Murorua Themistokles Dudu,http://www.parliament.na/images/nationalcouncil/d_murorua.jpg,DTA/UDF Coalition,DTA/UDF Coalition,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=563:murorua-themistokles-dudu&catid=122&Itemid=1378
Nguvauva-Kilus,Nguvauva Kilus,http://www.parliament.na/images/nationalcouncil/kilus_img_0039.jpg,"","",2,k.nguvauva@gmail.com,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=901:nguvauva-kilus-2nd&catid=122&Itemid=1378
Mwala-Peter-Mwala,Mwala Peter Mwala,http://www.parliament.na/images/nationalcouncil/p_mwala.jpg,SWAPO,SWAPO,2,,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=554:mwala-peter-mwala&catid=122&Itemid=1378
Kapere-Asser-Kuveri,Kapere Asser  Kuveri,http://www.parliament.na/images/Asser.jpg,SWAPO,SWAPO,4,a.kapere@parliament.na,"",http://www.parliament.na/index.php?option=com_contact&view=contact&id=11:asser-kapere&catid=136&Itemid=1376
